2025-07-05 11:29:03 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:05 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:06 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:07 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:08 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:09 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:10 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:11 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:12 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:13 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:14 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:15 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:16 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:17 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:18 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:19 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:20 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:21 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:22 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:23 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:24 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:25 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:26 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:27 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:28 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:29 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:30 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:31 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:32 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:33 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:34 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:35 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:36 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:37 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:38 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:39 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:40 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:41 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:42 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:43 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:44 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:45 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:46 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:47 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:48 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:49 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:50 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:51 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:52 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:53 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:54 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:55 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:56 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:57 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:58 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:29:59 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:00 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:01 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:02 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:03 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:04 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:05 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:06 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:07 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:08 - Juntas: [40.0, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:09 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:10 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:11 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:12 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:13 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:14 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:15 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:16 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:17 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:18 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:19 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:21 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:22 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:23 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:24 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:25 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:26 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:27 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:28 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:29 - Juntas: [40.0, None, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:30 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:31 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:32 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:33 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:34 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:35 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:36 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:37 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:38 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:39 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:40 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
